row,col,elevation_m,drainage_capacity_mm_hr
6,6,10.44,22.35
6,7,9.99,21.5
6,8,9.7,20.81
6,9,7.84,20.36
6,10,6.07,20.2
6,11,4.93,20.36
6,12,4.31,20.81
6,13,6.62,21.5
6,14,8.2,22.35
6,15,10.07,23.32
6,16,12.78,24.37
6,17,12.96,25.48
6,18,13.49,26.63
6,19,15.21,27.8
7,0,13.58,28.57
7,1,13.25,27.33
7,2,12.04,26.11
7,3,11.04,24.9
7,4,10.27,23.72
7,5,9.89,22.58
7,6,9.39,21.5
7,7,8.7,20.52
7,8,7.77,19.69
7,9,5.65,19.11
7,10,4.89,18.9
7,11,2.98,19.11
7,12,4.25,19.69
7,13,6.7,20.52
7,14,9.03,21.5
7,15,11.51,22.58
7,16,11.63,23.72
7,17,13.35,24.9
7,18,14.35,26.11
7,19,15.09,27.33
8,0,13.17,28.26
8,1,12.85,26.99
8,2,12.6,25.72
8,3,10.44,24.46
8,4,10.44,23.22
8,5,9.94,22.0
8,6,8.54,20.81
8,7,8.35,19.69
8,8,5.79,18.68
8,9,4.25,17.91
8,10,2.89,17.6
8,11,2.45,17.91
8,12,4.41,18.68
8,13,7.01,19.69
8,14,8.5,20.81
8,15,10.98,22.0
8,16,12.24,23.22
8,17,12.91,24.46
8,18,13.01,25.72
8,19,14.66,26.99
9,0,13.11,28.06
9,1,12.58,26.77
9,2,11.67,25.48
9,3,11.18,24.19
9,4,9.89,22.91
9,5,8.28,21.63
9,6,7.7,20.36
9,7,6.76,19.11
9,8,4.33,17.91
9,9,3.18,16.84
9,10,1.55,16.3
9,11,2.32,16.84
9,12,5.25,17.91
9,13,6.78,19.11
9,14,8.6,20.36
9,15,11.52,21.63
9,16,10.79,22.91
9,17,12.68,24.19
9,18,13.67,25.48
9,19,14.24,26.77
10,0,12.48,28.0
10,1,12.66,26.7
10,2,10.79,25.4
10,3,9.94,24.1
10,4,9.44,22.8
10,5,9.03,21.5
10,6,7.39,20.2
10,7,5.27,18.9
10,8,2.52,17.6
10,9,0.76,16.3
10,10,0.5,15.0
10,11,2.96,16.3
10,12,5.66,17.6
10,13,7.66,18.9
10,14,9.78,20.2
10,15,10.25,21.5
10,16,11.13,22.8
10,17,12.27,24.1
10,18,13.07,25.4
10,19,14.28,26.7
11,0,13.17,28.06
11,1,12.9,26.77
11,2,11.21,25.48
11,3,10.31,24.19
11,4,9.08,22.91
11,5,8.61,21.63
11,6,6.47,20.36
11,7,3.5,19.11
11,8,1.38,17.91
11,9,0.5,16.84
11,10,1.35,16.3
11,11,3.6,16.84
11,12,6.59,17.91
11,13,8.64,19.11
11,14,9.66,20.36
11,15,10.87,21.63
11,16,11.76,22.91
11,17,12.06,24.19
11,18,12.89,25.48
11,19,14.11,26.77
12,0,13.1,28.26
12,1,11.5,26.99
12,2,11.87,25.72
12,3,10.48,24.46
12,4,9.88,23.22
12,5,7.47,22.0
12,6,6.09,20.81
12,7,3.01,19.69
12,8,0.96,18.68
12,9,0.5,17.91
12,10,2.48,17.6
12,11,4.69,17.91
12,12,7.04,18.68
12,13,8.89,19.69
12,14,9.61,20.81
12,15,10.86,22.0
12,16,11.18,23.22
12,17,11.86,24.46
12,18,13.14,25.72
12,19,14.3,26.99
13,0,13.8,28.57
13,1,12.75,27.33
13,2,10.85,26.11
13,3,10.84,24.9
13,4,10.43,23.72
13,5,7.76,22.58
13,6,5.25,21.5
13,7,3.38,20.52
13,8,1.02,19.69
13,9,2.34,19.11
13,10,3.79,18.9
13,11,6.39,19.11
13,12,8.23,19.69
13,13,8.74,20.52
13,14,10.09,21.5
13,15,11.07,22.58
13,16,11.32,23.72
13,17,12.25,24.9
13,18,12.38,26.11
13,19,14.54,27.33
14,0,13.3,29.0
14,1,11.84,27.8
14,2,11.15,26.63
14,3,10.95,25.48
14,4,10.55,24.37
14,5,7.97,23.32
14,6,6.01,22.35
14,7,3.31,21.5
14,8,1.31,20.81
14,9,3.55,20.36
14,10,5.04,20.2
14,11,6.73,20.36
14,12,9.33,20.81
14,13,9.12,21.5
14,14,10.08,22.35
14,15,11.45,23.32
14,16,12.59,24.37
14,17,12.69,25.48
14,18,14.21,26.63
14,19,14.16,27.8
15,0,14.0,29.53
15,1,12.98,28.38
15,2,11.62,27.26
15,3,11.59,26.18
15,4,11.14,25.15
15,5,8.66,24.19
15,6,6.6,23.32
15,7,5.21,22.58
15,8,2.33,22.0
15,9,3.38,21.63
15,10,5.33,21.5
15,11,6.92,21.63
15,12,9.92,22.0
15,13,10.22,22.58
15,14,10.42,23.32
15,15,11.24,24.19
15,16,13.4,25.15
15,17,12.81,26.18
15,18,13.56,27.26
15,19,14.82,28.38
16,0,14.52,30.16
16,1,13.58,29.06
16,2,12.38,28.0
16,3,11.57,26.99
16,4,11.6,26.03
16,5,9.8,25.15
16,6,7.15,24.37
16,7,6.38,23.72
16,8,4.46,23.22
16,9,4.34,22.91
16,10,5.93,22.8
16,11,7.88,22.91
16,12,9.41,23.22
16,13,10.22,23.72
16,14,11.49,24.37
16,15,11.45,25.15
16,16,12.9,26.03
16,17,12.91,26.99
16,18,14.23,28.0
16,19,15.01,29.06
17,0,15.45,30.87
17,1,13.57,29.82
17,2,12.73,28.82
17,3,12.38,27.87
17,4,11.58,26.99
17,5,11.02,26.18
17,6,9.47,25.48
17,7,7.77,24.9
17,8,6.4,24.46
17,9,4.34,24.19
17,10,7.26,24.1
17,11,8.72,24.19
17,12,9.69,24.46
17,13,10.57,24.9
17,14,12.0,25.48
17,15,12.67,26.18
17,16,12.38,26.99
17,17,14.03,27.87
17,18,14.65,28.82
17,19,15.18,29.82
18,0,15.51,31.65
18,1,14.97,30.65
18,2,13.72,29.71
18,3,13.39,28.82
18,4,12.48,28.0
18,5,11.94,27.26
18,6,11.05,26.63
18,7,9.42,26.11
18,8,7.3,25.72
18,9,5.08,25.48
18,10,6.44,25.4
18,11,7.25,25.48
18,12,9.74,25.72
18,13,12.31,26.11
18,14,12.74,26.63
18,15,12.82,27.26
18,16,13.33,28.0
18,17,15.04,28.82
18,18,15.25,29.71
18,19,16.2,30.65
19,0,16.21,32.49
19,1,15.16,31.55
19,2,14.44,30.65
19,3,13.62,29.82
19,4,12.26,29.06
19,5,12.44,28.38
19,6,12.66,27.8
19,7,11.0,27.33
19,8,9.57,26.99
19,9,7.8,26.77
19,10,6.47,26.7
19,11,8.09,26.77
19,12,9.19,26.99
19,13,11.28,27.33
19,14,12.7,27.8
19,15,14.39,28.38
19,16,14.58,29.06
19,17,15.38,29.82
19,18,16.45,30.65
19,19,16.96,31.55
